group                                                    classes    size_kb
Architecture.WinApp.Reconciliation                             2      307.8
Architecture.WinApp.RetailInventoryReports                     1      374.5
Architecture.WinApp.RetailStockReports                         1      132.3
Architecture.WinApp.ReturnableInventoryManagement              4     2276.7
Architecture.WinApp.SDT                                        6     1453.9
Architecture.WinApp.SDT_Reports                                1      514.9
Architecture.WinApp.SMSSystem                                  2      229.0
Architecture.WinApp.SQL                                        4       71.2
Architecture.WinApp.Sale                                      30    25449.5
Architecture.WinApp.SaleForSalt                                2     1593.7
Architecture.WinApp.SaleTrading                               20    12806.7
Architecture.WinApp.Salt                                       4     2614.7
Architecture.WinApp.SeaPortsDefine                             1       85.7
Architecture.WinApp.Service                                   21    11336.7
Architecture.WinApp.SpecialApprovalDashboard                   6      640.2
Architecture.WinApp.Special_Rights                             2      260.5
Architecture.WinApp.Steel                                     40    22324.6
Architecture.WinApp.StoreManagement                           51    25683.2
Architecture.WinApp.SupfrmBankDetail                           1      171.3
Architecture.WinApp.SupfrmShipToAddress                        1      162.1
Architecture.WinApp.SupfrmSupplierLimits                       1      105.1
Architecture.WinApp.SupplierPortal                             2     1003.4
Architecture.WinApp.Supplier_Purchase                          1      696.9
Architecture.WinApp.SystemUtilities                            1       59.9
Architecture.WinApp.Tax_Definition                             5     1851.4
Architecture.WinApp.Taxation                                   7     1067.6
Architecture.WinApp.Templates                                 10     2308.3
Architecture.WinApp.Themes_ERP                                 1      153.2
Architecture.WinApp.UserRightsManagement                       1       92.8
Architecture.WinApp.VehicleType                                1       59.7
Architecture.WinApp.WaitForm                                   1        4.3
Architecture.WinApp.WarehouseAllocationToUser                  1      101.2
Architecture.WinApp.WeighBridgeGeneralLookups                  1      103.8
Architecture.WinApp.WeightBridge                               4     2215.3
Architecture.WinApp.WholeSale                                 14     2957.8
Architecture.WinApp.connectServer                              1       48.9
Architecture.WinApp.frmAppMenu_ScreensDefine                   1      401.1
Architecture.WinApp.frmChangePassword                          1       49.2
Architecture.WinApp.frmChartOfAccountAllocateCostCenter        1      179.6
Architecture.WinApp.frmGDBreakUp                               1       26.4
Architecture.WinApp.frmMessageBoxOk                            1       31.5
Architecture.WinApp.frmPlayVideo                               1       11.7
Architecture.WinApp.frmScreenDefinetion                        1      408.1
Architecture.WinApp.frmSupplierCustomerAllocateCostCenter        1      124.2
Architecture.WinApp.frmWaitForm                                1       12.2
Architecture.WinApp.lgstcm                                     6     1769.4
Architecture.WinApp.pcc                                       53    39121.9
CameraControl.ActionButton                                     1        1.6
CameraControl.ActionEvent                                      1        1.0
CameraControl.ActionListener                                   1        0.6
CameraControl.ActionRadioButton                                1        1.7
CameraControl.ActionSource                                     1        1.9
CameraControl.AeModeComboBox                                   1       13.4
CameraControl.AfModeComboBox                                   1        2.2
CameraControl.AspectComboBox                                   1        3.8
CameraControl.AvComboBox                                       1       12.6
CameraControl.AvailableShotsLabel                              1        1.4
CameraControl.BatteryLebelLabel                                1        1.7
CameraControl.CameraController                                 1       29.7
CameraControl.CameraEvent                                      1        1.0
CameraControl.CameraEventListener                              1        3.4
CameraControl.CameraModel                                      1       46.4
CameraControl.CameraSetting                                    1       63.3
CameraControl.ClickAFCommand                                   1        2.9
CameraControl.ClickWBCommand                                   1        2.7
CameraControl.CloseSessionCommand                              1        1.2
CameraControl.Command                                          1        0.9
CameraControl.CommandProcessor                                 1        2.8
CameraControl.DateTimeZoneSetting                              1       41.0
CameraControl.DeleteAllFilesCommand                            1        6.6
CameraControl.DoEvfAFCommand                                   1        1.8
CameraControl.DownloadAllFilesCommand                          1        7.7
CameraControl.DownloadCommand                                  1        6.1
CameraControl.DownloadEvfCommand                               1        7.0
CameraControl.DownloadProgressBar                              1        1.4
CameraControl.DriveLensCommand                                 1        1.8
CameraControl.DriveModeComboBox                                1        5.4
CameraControl.EVFDataSet                                       1        0.2
CameraControl.EndEvfCommand                                    1        3.9
CameraControl.EvfAfModeComboBox                                1        6.2
CameraControl.EvfPictureBox                                    1       21.9
CameraControl.ExposureCompComboBox                             1       10.1
CameraControl.FileCounterCommand                               1        5.9
CameraControl.FlashModeComboBox                                1        3.6
CameraControl.FocusBractingSetting                             1       28.7
CameraControl.FormatVolumeCommand                              1        1.4
CameraControl.GetPropertyCommand                               1        9.7
CameraControl.GetPropertyDescCommand                           1        5.6
CameraControl.IObserver                                        1        0.3
CameraControl.ImageQualityComboBox                             1       22.3
CameraControl.InfoLabel                                        1        1.2
CameraControl.IsoComboBox                                      1        9.7
CameraControl.MeteringModeComboBox                             1        3.9
CameraControl.MovieHFRComboBox                                 1        3.3
CameraControl.MovieQualityComboBox                             1       38.5
CameraControl.Observable                                       1        1.8
CameraControl.OpenSessionCommand                               1        9.9
CameraControl.PictureStyleComboBox                             1        5.4
CameraControl.PressShutterCommand                              1        2.5
CameraControl.Progress                                         1       17.6
CameraControl.ProgressBar                                      1        1.7
CameraControl.PropertyComboBox                                 1        4.6
CameraControl.PropertyTrackBar                                 1        2.5
CameraControl.RecordFuncCardSetting                            1       49.5
CameraControl.RemoteCapture                                    1      204.0
CameraControl.SetPropertyCommand                               1        2.2
CameraControl.SetRecCommand                                    1        1.2
CameraControl.SetRemoteShootingCommand                         1        2.3
CameraControl.SetRollPitchCommand                              1        2.4
CameraControl.StartEvfCommand                                  1        2.6
CameraControl.SwitchMirrorUpCommand                            1        2.6
CameraControl.SwitchStillMovieCommand                          1        3.5
CameraControl.TakePictureCommand                               1        2.1
CameraControl.TempStatusLabel                                  1        3.0
CameraControl.TvComboBox                                       1       16.2
CameraControl.WhiteBalanceComboBox                             1        8.4
CameraControl.ZoomTrackBar                                     1        3.2
Costura.AssemblyLoader                                         1       39.6
EDSDKLib.EDSDK                                                 1       19.3
Microsoft.Office                                              17        9.0
ThemeApp.ThemeManager                                          1        4.4
_GlobalOrCompilerGenerated                                  4593     6226.5
grid.Form2                                                     1        4.4
grid.User_Conrtols                                             1       43.7
