group                                                    classes    size_kb
Architecture.Model.SupplierCustomerUnAllocateFromDiscounPolicy        1        7.5
Architecture.Model.SystemUtilities                             8       59.7
Architecture.Model.Tax                                         9      138.2
Architecture.Model.TaxProject                                 49      976.9
Architecture.Model.Tehsil                                      1        6.5
Architecture.Model.Templates                                  10       73.4
Architecture.Model.Themes_ERP                                  1        8.9
Architecture.Model.USERINFO                                    1        2.8
Architecture.Model.UserAccount                                 1       21.0
Architecture.Model.UserAccountAllocation                       1        6.8
Architecture.Model.UserGroup                                   1        2.4
Architecture.Model.UserProfile                                 1        6.9
Architecture.Model.UserWarehouse                               1        6.5
Architecture.Model.UsersWithCostCenter                         1        6.3
Architecture.Model.VPS                                         2        3.5
Architecture.Model.WareHouseAllocationToPlants                 1        7.2
Architecture.Model.WarehousesAllocationToBranch                1        7.3
Architecture.Model.WeightBridge                                3       49.5
Architecture.Model.lgstcm                                     16      291.6
Architecture.Model.pcc                                        48      735.4
Architecture.Model.tblUserRights                               1       10.5
_GlobalOrCompilerGenerated                                     4        0.8
